iter	Passed	Remaining
225	399	1367
226	400	1363
227	403	1366
228	405	1364
229	406	1360
230	407	1357
231	409	1354
232	411	1353
233	412	1350
234	413	1346
235	414	1342
236	417	1344
237	419	1342
238	420	1338
239	421	1335
240	423	1334
241	425	1332
242	426	1329
243	428	1326
244	429	1322
245	430	1318
246	433	1321
247	434	1318
248	436	1315
249	437	1313
250	439	1310
251	441	1311
252	443	1308
253	444	1306
254	448	1309
255	449	1306
256	450	1302
257	452	1302
258	454	1299
259	455	1296
260	456	1293
261	457	1289
262	459	1287
263	462	1289
264	464	1287
265	465	1284
266	467	1283
267	468	1280
268	469	1276
269	471	1274
270	472	1271
271	473	1268
272	475	1264
273	476	1263
274	478	1261
275	480	1261
276	482	1259
277	483	1255
278	484	1253
279	486	1250
280	487	1248
281	489	1245
282	490	1241
283	492	1240
284	494	1240
285	495	1237
286	497	1235
287	498	1232
288	499	1228
289	501	1227
290	502	1225
291	503	1221
292	504	1218
293	507	1217
294	508	1214
295	509	1211
296	510	1208
297	511	1205
298	513	1202
299	514	1201
300	516	1199
301	517	1195
302	518	1192
303	519	1189
304	522	1190
305	524	1189
306	525	1186
307	526	1183
308	529	1183
309	530	1180
310	531	1177
311	532	1174
312	534	1172
313	536	1172
314	538	1170
315	539	1167
316	540	1164
317	542	1163
318	544	1161
319	545	1159
320	547	1157
321	548	1153
322	549	1150
323	550	1148
324	552	1147
325	554	1145
326	555	1143
327	556	1140
328	558	1138
329	559	1135
330	560	1132
331	561	1129
332	562	1126
333	563	1123
334	564	1120
335	566	1119
336	567	1117
337	568	1114
338	570	1111
339	571	1109
340	572	1106
341	573	1102
342	574	1099
343	575	1096
344	576	1094
345	577	1091
346	578	1088
347	579	1085
348	581	1084
349	582	1082
350	584	1080
351	585	1077
352	586	1075
353	587	1072
354	588	1069
355	589	1066
356	590	1064
357	591	1061
358	592	1058
359	593	1055
360	596	1055
361	597	1053
362	599	1051
363	600	1049
364	601	1047
365	603	1045
366	604	1042
367	605	1039
368	606	1036
369	607	1034
370	608	1031
371	611	1031
372	612	1029
373	613	1026
374	614	1023
375	616	1022
376	617	1020
377	618	1017
378	619	1015
379	621	1013
380	622	1010
381	623	1008
382	625	1008
383	627	1006
384	628	1004
385	629	1001
386	631	999
387	632	997
388	633	994
389	634	992
390	635	990
391	636	987
392	638	985
393	640	984
394	641	982
395	642	980
396	643	978
397	645	976
398	646	973
399	647	971
400	648	968
401	649	966
402	650	963
403	651	961
404	652	958
405	653	956
406	655	955
407	656	952
408	657	950
409	659	948
410	660	946
411	661	944
412	662	941
413	663	939
414	664	937
415	666	934
416	667	932
417	667	930
418	670	929
419	671	927
420	673	926
421	675	925
422	676	923
423	678	921
424	679	919
425	680	917
426	681	914
427	682	912
428	684	911
429	686	909
430	687	908
431	689	906
432	690	904
433	691	902
434	692	899
435	693	897
436	695	895
437	696	893
438	697	891
439	698	888
440	700	888
441	702	886
442	703	884
443	704	882
444	705	880
445	706	877
446	707	875
447	709	873
448	710	871
449	711	869
450	712	866
451	713	864
452	716	864
453	717	862
454	718	860
455	719	858
456	720	856
457	721	854
458	723	852
459	724	849
460	725	847
461	726	845
462	726	843
463	728	841
464	730	840
465	731	838
466	732	836
